Item;r_object_id;i_antecedent_id;i_chronicle_id;r_version_label;r_creation_date;i_has_folder;a_content_type;r_link_cnt;object_name;numero_vale;subject;title;r_object_type;codigo_site;fase;id_projeto;id_empresa_projeto;id_subarea;codigo_disciplina;r_is_virtual_doc;documento_fornecedor;numero_documento_base;area_funcional;revisao;sigla_idioma;numero_paginas;nome_formato;sigla_finalidade_devolucao;id_tag;tag_antigo;numero_ld;localizacao_acervo;sigla_tipo_emissao;confidencial;numero_vale_antigo;observacoes;data_emissao_prevista;data_emissao_reprog;data_emissao_realiz;avanco_fisico;codigo_atividade;item_contrato;medicao;coringa;substituto;padronizado;livre;data_reuniao;localidade;data_envio;nome_remetente;nome_destinatario;sigla_fluido;sigla_especificacao;sequencial_linha;equipamento;rc_referencia;rp_referencia;rt_referencia;numero_contrato;numero_contratada;id_empresa_contratada;server_path
1;09035f518222dc87;0000000000000000;09035f518222dc87;1.0;24/07/2015 15:34:10;0;acad;0;8332PZ-G-00009_REV_0.DWG;8332PZ-G-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE ENGENHARIA - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;G;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31030;;B;0;;;nulldate;nulldate;07/08/2014 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1016/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\df.dwg
2;09035f518222dccc;09035f518222dc87;09035f518222dc87;CURRENT|1.1;24/07/2015 15:34:11;1;acad;0;8332PZ-G-00009_REV_1.DWG;8332PZ-G-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE ENGENHARIA - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;G;0;0;;;1;;1;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;09/09/2014 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1210/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e0.dwg
3;09035f518222dc88;0000000000000000;09035f518222dc88;1.0;24/07/2015 15:34:12;0;acad;0;8332PZ-G-00010_REV_0.DWG;8332PZ-G-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE PROCESSO - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60383;G;0;0;;;0;;2;A1;;;;LD-832C-98-31060;;C;0;;;nulldate;nulldate;08/08/2014 00:00:00;0;;;;;;1;+, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e1.dwg
4;09035f51822d8651;09035f518222dc88;09035f518222dc88;1.1|CURRENT;18/08/2015 15:45:08;1;acad;0;8332PZ-G-00010_REV_1.DWG;8332PZ-G-00010;CADASTRARFICHAIMPORTAR;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - FLUXOGRAMA DE PROCESSO - PROJETO BASICO;engdo_fg;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60383;G;0;0;;;1;;2;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;18/08/2015 15:44:42;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8a/c1/b9.dwg
5;09035f518222dc89;0000000000000000;09035f518222dc89;1.0;24/07/2015 15:34:13;0;acad;0;8332PZ-S-00009_REV_0.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;27/05/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1275/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e2.dwg
6;09035f518222dccf;09035f518222dc89;09035f518222dc89;1.1;24/07/2015 15:34:15;0;acad;0;8332PZ-S-00009_REV_1.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;29/07/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1553/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e4.dwg
7;09035f518222dcd1;09035f518222dccf;09035f518222dc89;1.2;24/07/2015 15:34:16;0;acad;0;8332PZ-S-00009_REV_2.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;2;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;04/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1777/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e5.dwg
8;09035f518222dcd3;09035f518222dcd1;09035f518222dc89;1.3;24/07/2015 15:34:17;0;acad;0;8332PZ-S-00009_REV_3.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;3;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;16/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1979/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e6.dwg
9;09035f518222dcd5;09035f518222dcd3;09035f518222dc89;1.4;24/07/2015 15:34:18;0;acad;0;8332PZ-S-00009_REV_4.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;4;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;07/11/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-1633/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e7.dwg
10;09035f518222dcda;09035f518222dcd5;09035f518222dc89;1.5;24/07/2015 15:34:18;0;acad;0;8332PZ-S-00009_REV_5.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;5;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;10/12/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0024/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e8.dwg
11;09035f518222dcdd;09035f518222dcda;09035f518222dc89;1.6;24/07/2015 15:34:19;0;acad;0;8332PZ-S-00009_REV_6.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;6;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;27/01/2015 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0249/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\e9.dwg
12;09035f518222dcdf;09035f518222dcdd;09035f518222dc89;CURRENT|1.7;24/07/2015 15:34:20;1;acad;0;8332PZ-S-00009_REV_7.DWG;8332PZ-S-00009;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - ESTRUTURA METALICA - PLATAFORMAS - ELEVACOES +23970 E +26770 - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;7;;1;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;20/05/2015 00:00:00;0;;;MEASURED_100;EVENTO 4.5;;1;GRDC-0705/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\ea.dwg
13;09035f518222dc8a;0000000000000000;09035f518222dc8a;1.0;24/07/2015 15:34:20;0;acad;0;8332PZ-S-00010_REV_0.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;27/05/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1275/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\ec.dwg
14;09035f518222dce1;09035f518222dc8a;09035f518222dc8a;1.1;24/07/2015 15:34:21;0;acad;0;8332PZ-S-00010_REV_1.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;29/07/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1553/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\ed.dwg
15;09035f518222dce3;09035f518222dce1;09035f518222dc8a;1.2;24/07/2015 15:34:22;0;acad;0;8332PZ-S-00010_REV_2.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;2;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;04/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1777/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\ee.dwg
16;09035f518222dce5;09035f518222dce3;09035f518222dc8a;1.3;24/07/2015 15:34:23;0;acad;0;8332PZ-S-00010_REV_3.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +26770 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;3;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;16/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1979/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\ef.dwg
17;09035f518222dce7;09035f518222dce5;09035f518222dc8a;1.4;24/07/2015 15:34:24;0;acad;0;8332PZ-S-00010_REV_4.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS ELEVACOES +23970 E +26770 - PLANTAS CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;4;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;07/11/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-1633/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f0.dwg
18;09035f518222dce9;09035f518222dce7;09035f518222dc8a;1.5;24/07/2015 15:34:24;0;acad;0;8332PZ-S-00010_REV_5.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PLANTAS CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;5;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;15/12/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0024/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f1.dwg
19;09035f518222dceb;09035f518222dce9;09035f518222dc8a;1.6;24/07/2015 15:34:25;0;acad;0;8332PZ-S-00010_REV_6.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +23970 E +26770 - PLANTAS CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;6;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;27/01/2015 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0249/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f2.dwg
20;09035f518222dced;09035f518222dceb;09035f518222dc8a;CURRENT|1.7;24/07/2015 15:34:26;1;acad;0;8332PZ-S-00010_REV_7.DWG;8332PZ-S-00010;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - ESTRUTUTA METALICA - PLATAFORMAS - ELEVACOES +23970 E +26770 - PLANTAS CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;7;;1;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;20/05/2015 00:00:00;0;;;MEASURED_100;EVENTO 4.6;;1;GRDC-0705/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f4.dwg
21;09035f518222dc8b;0000000000000000;09035f518222dc8b;1.0;24/07/2015 15:34:26;0;acad;0;8332PZ-S-00011_REV_0.DWG;8332PZ-S-00011;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS ELEVACAO +28795 +24525 E +21825 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;27/05/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1275/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f5.dwg
22;09035f518222dcef;09035f518222dc8b;09035f518222dc8b;1.1;24/07/2015 15:34:27;0;acad;0;8332PZ-S-00011_REV_1.DWG;8332PZ-S-00011;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS ELEVACAO +28795 +24525 E +21825 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;29/07/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1553/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f6.dwg
23;09035f518222dcf2;09035f518222dcef;09035f518222dc8b;1.2;24/07/2015 15:34:28;0;acad;0;8332PZ-S-00011_REV_2.DWG;8332PZ-S-00011;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS ELEVACAO +28795 +24525 E +21825 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;2;;1;A1;;0000000000000000;;LD-832C-98-31020;;C;0;;;nulldate;nulldate;29/07/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1777/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f7.dwg
24;09035f518222dcf6;09035f518222dcf2;09035f518222dc8b;1.3;24/07/2015 15:34:29;0;acad;0;8332PZ-S-00011_REV_3.DWG;8332PZ-S-00011;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS ELEVACOES +24535 E +28680 - PLANTAS CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;3;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;07/11/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-1633/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f8.dwg
25;09035f518222dcf8;09035f518222dcf6;09035f518222dc8b;CURRENT|1.4;24/07/2015 15:34:30;1;acad;0;8332PZ-S-00011_REV_4.DWG;8332PZ-S-00011;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMAS - ELEVACOES +24535 E +28680 - PLANTAS CORTES E VISTAS - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;4;;1;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;16/12/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0024/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\f9.dwg
26;09035f518222dcf9;0000000000000000;09035f518222dcf9;1.0;24/07/2015 15:34:30;0;acad;0;8332PZ-S-00012_REV_0.DWG;8332PZ-S-00012;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +31270 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;27/05/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1275/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\fa.dwg
27;09035f518222dd06;09035f518222dcf9;09035f518222dcf9;1.1;24/07/2015 15:34:31;0;acad;0;8332PZ-S-00012_REV_1.DWG;8332PZ-S-00012;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +31270 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;1;A1;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;29/07/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1553/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\fc.dwg
28;09035f518222dd08;09035f518222dd06;09035f518222dcf9;1.2;24/07/2015 15:34:32;0;acad;0;8332PZ-S-00012_REV_2.DWG;8332PZ-S-00012;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +31270 - ESTRUTURA METALICA - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;2;;1;A1;APR;;;LD-832C-98-31020;;C;0;;EM REV KARLA_FERREIRA-EPC-THIAGO_MENDONCA-GALEC-PREV. RETORNO 13/08/2015;nulldate;nulldate;04/09/2013 00:00:00;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-1777/13, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\fd.dwg
29;09035f51822830ce;09035f518222dd08;09035f518222dcf9;1.3;05/08/2015 08:37:45;0;acad;0;8332PZ-S-00012_REV_3.DWG;8332PZ-S-00012;CADASTRARFICHAIMPORTAR;USINA 3 - MISTURA - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +31270 - ESTRUTURA METALICA - MODIFICACAO - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;3;;1;A1;APR;;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;05/08/2015 08:37:20;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-896/15  +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/87/31/bc.dwg
30;09035f51822b8f12;09035f51822830ce;09035f518222dcf9;1.4|CURRENT;10/08/2015 16:23:46;1;acad;0;8332PZ-S-00012_REV_4.DWG;8332PZ-S-00012;CADASTRARFICHAIMPORTAR;USINA 3 - MISTURA - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA ELEVACAO +31270 - ESTRUTURA METALICA - MODIFICACAO - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;4;;1;A1;APR;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;10/08/2015 16:23:30;0;;;MEASURED_100;EVENTO 2.1;;1;GRDC-0915/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/89/87/99.dwg
31;09035f518222dcfa;0000000000000000;09035f518222dcfa;1.0;24/07/2015 15:34:33;0;acad;0;8332PZ-S-00013_REV_0.DWG;8332PZ-S-00013;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA - ELEVACAO +28680 - CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;1;A1;;0000000000000000;;LD-832C-98-31030;;B;0;;;nulldate;nulldate;07/11/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-1633/14, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\fe.dwg
32;09035f518222dd0b;09035f518222dcfa;09035f518222dcfa;CURRENT|1.1;24/07/2015 15:34:34;1;acad;0;8332PZ-S-00013_REV_1.DWG;8332PZ-S-00013;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - PLATAFORMA - ELEVACAO +28680 - CORTES E DETALHES - PROJETO BASICO;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;1;A1;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;16/12/2014 00:00:00;0;;;MEASURED_100;EVENTO 4.2;;1;GRDC-0024/15, +, *;;;;;;;;;;;;;;;;C:\project\DocumentumFileCopy\inputTeste\ff.dwg
33;09035f518222dcfb;0000000000000000;09035f518222dcfb;1.0;24/07/2015 15:34:35;0;acad;0;8332PZ-M-00055_REV_0.DWG;8332PZ-M-00055;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - LOCACAO DOS EQUIPAMENTOS - ESTUDO ELEVACAO - PROJETO CONCEITUAL;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;M;0;0;;;0;;1;A4;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;19/04/2013 00:00:00;0;;;MEASURED_100;EVENTO 1.1;;1;GRDC-0958/13, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/2d/00.dwg
34;09035f518222dd0e;09035f518222dcfb;09035f518222dcfb;1.1|CURRENT;24/07/2015 15:34:36;1;acad;0;8332PZ-M-00055_REV_1.DWG;8332PZ-M-00055;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - LOCACAO DOS EQUIPAMENTOS - ESTUDO ELEVACAO - PROJETO CONCEITUAL;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;M;0;0;;;1;;1;A4;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;17/06/2013 00:00:00;0;;;MEASURED_100;EVENTO 1.1;;1;GRDC-1244/13, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/2d/01.dwg
35;09035f518222dcfc;0000000000000000;09035f518222dcfc;1.0;24/07/2015 15:34:37;0;acad;0;8332PZ-M-00056_REV_0.DWG;8332PZ-M-00056;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - LOCACAO DOS EQUIPAMENTOS - ESTUDO - CORTES - PROJETO CONCEITUAL;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;M;0;0;;;0;;1;A4;;0000000000000000;;LD-832C-98-31020;;B;0;;;nulldate;nulldate;19/04/2013 00:00:00;0;;;MEASURED_100;EVENTO 1.1;;1;GRDC-0958/13, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/2d/03.dwg
36;09035f518222dd10;09035f518222dcfc;09035f518222dcfc;1.1|CURRENT;24/07/2015 15:34:38;1;acad;0;8332PZ-M-00056_REV_1.DWG;8332PZ-M-00056;LEGADO - V1.0.20150324;SISTEMA DE DOSAGEM DE PERIDUR - LOCACAO DOS EQUIPAMENTOS - ESTUDO - CORTES - PROJETO CONCEITUAL;engdo_dg;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;M;0;0;;;1;;1;A4;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;17/06/2013 00:00:00;0;;;MEASURED_100;EVENTO 1.1;;1;GRDC-1244/13, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/2d/04.dwg
