Item;r_object_id;i_antecedent_id;i_chronicle_id;r_version_label;r_creation_date;i_has_folder;a_content_type;r_link_cnt;object_name;numero_vale;subject;title;r_object_type;codigo_site;fase;id_projeto;id_empresa_projeto;id_subarea;codigo_disciplina;r_is_virtual_doc;documento_fornecedor;numero_documento_base;area_funcional;revisao;sigla_idioma;numero_paginas;nome_formato;sigla_finalidade_devolucao;id_tag;tag_antigo;numero_ld;localizacao_acervo;sigla_tipo_emissao;confidencial;numero_vale_antigo;observacoes;data_emissao_prevista;data_emissao_reprog;data_emissao_realiz;avanco_fisico;codigo_atividade;item_contrato;medicao;coringa;substituto;padronizado;livre;data_reuniao;localidade;data_envio;nome_remetente;nome_destinatario;sigla_fluido;sigla_especificacao;sequencial_linha;equipamento;rc_referencia;rp_referencia;rt_referencia;numero_contrato;numero_contratada;id_empresa_contratada;server_path
409;09035f5182232fb5;09035f5182232f7d;09035f5182232f7d;1.1;24/07/2015 17:37:58;0;excel8book;0;RE-8332PZ-J-00003_REV_1.XLS;RE-8332PZ-J-00003;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60383;J;0;0;;;1;;4;A4;;0000000000000000;;LD-832P-98-31060;;B;0;;;nulldate;nulldate;15/01/2014 00:00:00;0;;;MEASURED_100;EVENTO 58;;0;GRDC-0182/15, CP, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/53.xls
410;09035f5182232fb7;09035f5182232fb5;09035f5182232f7d;CURRENT|1.2;24/07/2015 17:37:59;1;excel8book;0;RE-8332PZ-J-00003_REV_2.XLS;RE-8332PZ-J-00003;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60383;J;0;0;;;2;;3;A4;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;09/04/2014 00:00:00;0;;;MEASURED_100;EVENTO 58;;1;GRDC-0528/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/54.xls
411;09035f5182232fb9;0000000000000000;09035f5182232fb9;1.0;24/07/2015 17:38:01;0;excel8book;0;RE-8032PZ-J-00004_REV_0.XLS;RE-8032PZ-J-00004;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - UTILIDADES - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;J;0;0;;;0;;3;A4;;0000000000000000;;LD-832P-98-31060;;B;0;;;nulldate;nulldate;04/12/2014 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 31;;0;GRDC-1783/14, CP, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/57.xls
412;09035f5182232fc4;09035f5182232fb9;09035f5182232fb9;1.1;24/07/2015 17:38:02;0;excel8book;0;RE-8032PZ-J-00004_REV_1.XLS;RE-8032PZ-J-00004;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - UTILIDADES - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;J;0;0;;;1;;3;A4;;0000000000000000;;LD-832P-98-31060;;B;0;;;nulldate;nulldate;18/01/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 31;;1;GRDC-0182/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/58.xls
413;09035f5182232fc6;09035f5182232fc4;09035f5182232fb9;1.2;24/07/2015 17:38:03;0;excel8book;0;RE-8032PZ-J-00004_REV_2.XLS;RE-8032PZ-J-00004;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - UTILIDADES - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;J;0;0;;;2;;3;A4;;0000000000000000;;LD-832P-98-31060;;C;0;;;nulldate;nulldate;19/02/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 31;;1;GRDC-0265/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/59.xls
414;09035f5182232fc8;09035f5182232fc6;09035f5182232fb9;1.3;24/07/2015 17:38:03;0;excel8book;0;RE-8032PZ-J-00004_REV_3.XLS;RE-8032PZ-J-00004;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - UTILIDADES - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;J;0;0;;;3;;3;A4;;0000000000000000;;LD-832P-98-31060;;C;0;;;nulldate;nulldate;09/04/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 31;;1;GRDC-0528/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/5a.xls
415;09035f5182232fca;09035f5182232fc8;09035f5182232fb9;CURRENT|1.4;24/07/2015 17:38:05;1;excel8book;0;RE-8032PZ-J-00004_REV_4.XLS;RE-8032PZ-J-00004;LEGADO - V1.0.20150324;USINA 3 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - UTILIDADES - RELACAO DE ENTRADAS E SAIDAS - PROJETO BASICO;engdo_re;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;J;0;0;;;4;;4;A4;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;15/05/2015 00:00:00;0;;;MEASURED_100;EVENTO 31;;1;GRDC-0588/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/58/5b.xls
416;09035f518223328a;0000000000000000;09035f518223328a;1.0;24/07/2015 17:44:53;0;msw8;0;RL-8332PZ-S-00001_REV_0.DOC;RL-8332PZ-S-00001;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - ESTRUTURA METALICA - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;0;;210;A4;;0000000000000000;;LD-832C-98-31030;;B;0;;;nulldate;nulldate;02/04/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 4.8;;1;GRDC-0453/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/36.doc
417;09035f51822332aa;09035f518223328a;09035f518223328a;1.1;24/07/2015 17:44:54;0;msw8;0;RL-8332PZ-S-00001_REV_1.DOC;RL-8332PZ-S-00001;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - ESTRUTURA METALICA - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;1;;250;A4;;0000000000000000;;LD-832C-98-31030;;C;0;;;nulldate;nulldate;07/05/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 4.8;;1;GRDC-0555/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/38.doc
418;09035f51822332ac;09035f51822332aa;09035f518223328a;CURRENT|1.2;24/07/2015 17:44:56;1;msw8;0;RL-8332PZ-S-00001_REV_2.DOC;RL-8332PZ-S-00001;LEGADO - V1.0.20150324;USINA 3 - SISTEMA DE DOSAGEM DE PERIDUR - ESTRUTURA METALICA - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b06f;08035f5181f60383;S;0;0;;;2;;250;A4;;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;02/06/2015 00:00:00;0;;;MEASURED_100;EVENTO 4.8;;1;GRDC-0705/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/39.doc
